Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,1202.290039,1202.290039,1174.160034,1187.130005,1187.130005,0
2016-01-05,1187.219971,1192.060059,1182.229980,1189.229980,1189.229980,0
2016-01-06,1188.770020,1188.770020,1166.640015,1173.140015,1173.140015,0
2016-01-07,1171.290039,1171.290039,1142.439941,1144.619995,1144.619995,0
2016-01-08,1145.420044,1154.510010,1129.719971,1131.579956,1131.579956,0
2016-01-11,1131.790039,1139.180054,1118.630005,1131.319946,1131.319946,0
2016-01-12,1133.010010,1145.479980,1124.390015,1139.060059,1139.060059,0
2016-01-13,1140.010010,1145.689941,1106.800049,1109.390015,1109.390015,0
2016-01-14,1109.670044,1134.410034,1101.410034,1127.020020,1127.020020,0
2016-01-15,1124.589966,1124.589966,1088.670044,1103.339966,1103.339966,0
2016-01-19,1105.660034,1115.130005,1091.989990,1101.689941,1101.689941,0
2016-01-20,1099.949951,1100.250000,1060.609985,1090.510010,1090.510010,0
2016-01-21,1090.689941,1108.140015,1084.380005,1095.150024,1095.150024,0
2016-01-22,1097.540039,1118.979980,1097.540039,1118.280029,1118.280029,0
2016-01-25,1117.890015,1117.890015,1098.989990,1099.680054,1099.680054,0
2016-01-26,1100.180054,1118.020020,1100.180054,1116.500000,1116.500000,0
2016-01-27,1116.140015,1123.780029,1098.010010,1103.750000,1103.750000,0
2016-01-28,1104.760010,1115.119995,1097.989990,1108.219971,1108.219971,0
2016-01-29,1108.359985,1136.839966,1108.359985,1136.839966,1136.839966,0
2016-02-01,1135.040039,1141.030029,1124.839966,1136.459961,1136.459961,0
2016-02-02,1135.530029,1135.530029,1110.880005,1114.219971,1114.219971,0
2016-02-03,1114.709961,1122.619995,1095.849976,1119.709961,1119.709961,0
2016-02-04,1119.079956,1129.709961,1113.800049,1122.459961,1122.459961,0
2016-02-05,1122.040039,1122.040039,1096.099976,1099.560059,1099.560059,0
2016-02-08,1096.680054,1096.680054,1067.650024,1082.229980,1082.229980,0
2016-02-09,1081.290039,1089.900024,1070.849976,1080.609985,1080.609985,0
2016-02-10,1082.719971,1098.479980,1080.069946,1080.810059,1080.810059,0
2016-02-11,1078.089966,1078.089966,1056.449951,1067.339966,1067.339966,0
2016-02-12,1068.329956,1088.260010,1068.329956,1088.260010,1088.260010,0
2016-02-16,1088.410034,1107.680054,1088.410034,1107.619995,1107.619995,0
2016-02-17,1109.219971,1128.660034,1109.219971,1126.280029,1126.280029,0
2016-02-18,1126.780029,1128.000000,1119.319946,1121.020020,1121.020020,0
2016-02-19,1120.199951,1121.910034,1111.760010,1121.439941,1121.439941,0
